Estado,Ano,temp_media,chuva_media
SC,2003,19.983821309990944,811.8000000000001
SC,2004,20.893518941122775,1051.6
SC,2005,19.976650038372984,982.6
SC,2006,20.972008316008317,833.0000000000001
SC,2007,18.8142899179755,870.3599999999999
SC,2008,16.949284516196666,1447.2333333333333
SC,2009,17.997121865732,1964.7052631578947
SC,2010,17.826992378709956,1909.1
SC,2011,17.55039956992625,2004.7599999999998
SC,2012,18.49212229962705,1472.54
SC,2013,17.6588197239793,1727.36
SC,2014,18.882632935141427,1650.7238095238095
SC,2015,18.626594812325514,1912.647619047619
SC,2016,17.560834796926454,1593.4
SC,2017,18.49120767842205,1655.4818181818182
SC,2018,18.336677141061532,1452.6545454545455
SC,2019,18.64465153844959,1509.3583333333333
SC,2020,18.286955550956836,1212.3416666666667
SC,2021,17.639422484264003,1149.2521739130436
SC,2022,17.886159357964495,1464.125
SC,2023,18.62321632578783,2211.5416666666665
SE,2003,26.37950278389227,1409.6
SE,2004,26.2580560320183,1318.6
SE,2005,26.697459258308736,784.2
SE,2006,27.10254318618042,309.0
SE,2007,24.794169381107494,490.2
SE,2008,24.432861460646436,626.1600000000001
SE,2009,25.42851599934553,967.4399999999999
SE,2010,25.1834342602461,1173.64
SE,2011,24.759900708869512,1034.76
SE,2012,24.999902063658624,734.24
SE,2013,25.336681011556504,1003.68
SE,2014,24.924708066069876,908.36
SE,2015,25.422326203208552,881.5200000000001
SE,2016,25.641705069124423,573.76
SE,2017,24.822164929400458,836.2857142857143
SE,2018,25.21723381652445,519.2857142857143
SE,2019,25.73314151938095,846.1428571428571
SE,2020,25.63513050235407,538.1428571428571
SE,2021,25.29350994909764,523.6800000000001
SE,2022,25.142907346083664,345.08
SE,2023,25.63022661556049,498.84
SP,2003,19.682523833700003,859.5999999999999
SP,2004,21.852082685732046,667.0
SP,2005,22.28524074810983,1413.0666666666666
SP,2006,21.68122461570099,561.0
SP,2007,21.62021894070572,871.9083333333333
SP,2008,20.996004109109986,1152.3586206896553
SP,2009,21.640848291335864,1317.7379310344827
SP,2010,21.392704986758982,1040.0666666666666
SP,2011,20.983321188504625,1295.4387096774194
SP,2012,21.49614693266679,1238.883870967742
SP,2013,20.974375960213504,1315.9419354838708
SP,2014,21.805363892045225,941.2258064516129
SP,2015,21.98790517284671,1500.883870967742
SP,2016,21.435590852900205,1228.430303030303
SP,2017,21.774708937138335,1238.3600000000001
SP,2018,21.809186370018924,1209.3024390243902
SP,2019,22.32186448089356,1201.8
SP,2020,20.744245009302816,901.1999999999999
SP,2021,21.989977206595537,555.2
SP,2022,21.024836035144165,1042.0473684210526
SP,2023,22.038290080286963,1315.17
TO,2004,25.825806451612905,175.79999999999998
TO,2005,26.59985886148263,1321.4
TO,2006,26.800864906732073,1218.1333333333334
TO,2007,26.34647445941711,1178.8333333333333
TO,2008,26.01057017179849,1367.95
TO,2009,25.910022711296165,1557.8666666666666
TO,2010,26.565468419067514,1071.4444444444443
TO,2011,25.894787931328896,1462.6666666666667
TO,2012,26.09949871824158,960.0166666666668
TO,2013,26.134215229091986,1473.45
TO,2014,25.915430552116863,1412.9166666666667
TO,2015,26.547690114535712,929.8142857142857
TO,2016,26.818560075490616,837.3100000000001
TO,2017,26.154212662739468,1321.8200000000002
TO,2018,25.900449846741868,1396.58
TO,2019,26.244321426451872,1119.52
TO,2020,26.281496082289426,1263.98
TO,2021,26.419876931579058,821.1578947368421
TO,2022,26.177324624289735,940.688888888889
TO,2023,26.60366461092094,939.3473684210526
